Key                                              Plaintext                                             Cipertext
0   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  B9 D1 C4 8E 34 8F E7 71 FA 46 4A 77 A1 78 FB 07  95 F8 84 73 69 A8 57 3D 76 AF 98 7A B3 0A 5D E2
1   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  DC FE AD 50 D1 D9 FD 08 B3 86 EF B0 8B 14 2F 74  85 E5 F1 63 C8 57 B0 AC 11 62 E0 7D D3 43 2B 66
2   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  4C FD A4 C3 07 61 57 F5 81 B7 1E 46 E8 CB 56 75  5A E6 F0 34 4C EB A2 51 1D 63 76 C8 9A C3 3D DC
3   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  25 38 68 B7 9E 7C 31 E0 D3 BC DB AE 9F 37 E5 E5  47 82 ED 61 47 56 B6 EC 9C 7F E4 96 04 A2 0C C5
4   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  16 D6 2B A4 D3 38 FF 7B A6 B8 CF 19 BA B7 20 E7  19 D7 27 FE 24 31 C2 11 3B FE F1 00 C3 C6 D1 CE
5   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  30 7A 8A 53 AB 77 D5 CF CB C3 F0 4B 85 A9 55 49  F0 44 D4 47 02 30 82 FC 51 D5 07 27 51 02 4A B0
6   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  D2 38 2F 11 9F B1 A1 ED 38 ED 11 E6 AD 18 26 1B  DD 5D A1 6F 8E 3F 83 1E 28 70 F6 7B 9B E8 46 89
7   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  9C F3 7D 25 AD 91 39 9E 01 5C D9 0F 48 B4 F5 FD  62 9E 20 08 85 E6 75 6B 03 07 22 14 8D 5D 24 E1
8   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  63 85 47 81 88 0E 47 7E D8 9C 1A BE 66 EE 21 B3  7A 5B B7 86 11 FA 24 29 52 C6 0C F7 E5 8B 06 A3
9   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  9D D4 AF 91 2C 2F 9B 40 FF 91 10 43 D7 91 A5 84  E7 E6 9E A1 63 66 EE 1F 60 7C 5A 9A A9 8E F7 07
10   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  F8 13 83 27 D0 A4 93 8D AC FE 4D 10 77 7B 37 12  09 8F B8 0A 87 F1 0A 97 2C FD 68 3B 5D B3 25 F3
11   00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F  3A 26 72 73 05 63 D0 33 E9 07 82 F6 FE 04 A7 47  B3 D5 B8 F7 23 74 FD 8E 48 D1 BB 27 FB F5 44 31
